objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"5-Minute Dungeon","207830","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","43824205","0","0","1.1164","0","13982","thing","5-Minute Dungeon","2","5","30","30","5","2017","2,3,4,5","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","14.19","USD","","","2018-05-22","Miniature Market","","$5 shipping (5 Minute Dungeon + Scythe WG)","","","","","",""
"5-Minute Dungeon: Curses! Foiled Again!","253170","0","","0","1","0","0","0","0","0","0","0","1","","","","","","56289648","0","0","1.25","0","3728","thing","5-Minute Dungeon: Curses! Foiled Again!","2","6","30","30","5","2018","3,4,5,6","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"6 nimmt!","432","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","61819068","0","0","1.2053","0","31547","thing","6 nimmt!","2","10","45","45","45","1994","4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","6.98","USD","","","2019-07-07","Half Price Books","1","","","","","","",""
"7 Wonders","68448","8.5","4","0","1","0","0","0","0","0","0","0","3","","","","","","28255533","0","0","2.3259","0","119162","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","22.4","USD","","","2015-11-29","Amazon","1","with Folded Space insert","","","","","",""
"7 Wonders Duel","173346","9","4","0","1","0","0","0","0","0","0","0","2","","","","","","34883148","0","0","2.2255","0","108595","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","Broken Token insert","","","","","",""
"7 Wonders Duel: Pantheon","202976","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","39470644","0","0","2.3216","0","31605","thing","7 Wonders Duel: Pantheon","2","2","45","45","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","25","USD","","","2017-07-22","The Guardtower","1","","","","","","",""
"7 Wonders: Babel","154638","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71120830","0","0","2.6452","0","13530","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","15.86","USD","","","2020-03-04","Amazon","1","","","","","","",""
"7 Wonders: Cities","111661","0","","0","1","0","0","0","0","0","0","0","3","","","","","","87970397","0","0","2.3477","0","27804","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","23.99","USD","","","2021-11-26","Packrat Comics","","","","","","","",""
"7 Wonders: Leaders","92539","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65460770","0","0","2.2772","0","32692","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","11.09","USD","","","2019-11-02","Amazon","1","","","","","","",""
"Acquire","5","6.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","27818217","0","0","2.5031","0","23729","thing","Acquire","2","6","90","90","90","1964","3,4,5,6","4","12+","No necessary in-game text","","82255","","","","standalone","","","","","","","","","","","","","","",""
