objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"5-Minute Dungeon","207830","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","43824205","6.66403","7.02061","1.1189","800","13549","thing","5-Minute Dungeon","2","5","30","30","5","2017","2,3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","14.19","USD","","","2018-05-22","Miniature Market","","$5 shipping (5 Minute Dungeon + Scythe WG)","","","","","",""
"5-Minute Dungeon: Curses! Foiled Again!","253170","0","","0","1","0","0","0","0","0","0","0","1","","","","","","56289648","6.05812","7.38157","1.25","0","3615","thing","5-Minute Dungeon: Curses! Foiled Again!","2","6","30","30","5","2018","3,4,5,6","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"6 nimmt!","432","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","61819068","6.79974","6.92649","1.2069","597","30532","thing","6 nimmt!","2","10","45","45","45","1994","4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","6.98","USD","","","2019-07-07","Half Price Books","1","","","","","","",""
"7 Wonders","68448","8.5","4","0","1","0","0","0","0","0","0","0","3","","","","","","28255533","7.63938","7.74136","2.327","73","116949","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","22.4","USD","","","2015-11-29","Amazon","1","with Folded Space insert","","","","","",""
"7 Wonders Duel","173346","9","4","0","1","0","0","0","0","0","0","0","2","","","","","","34883148","7.98325","8.10949","2.2238","16","103695","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","Broken Token insert","","","","","",""
"7 Wonders Duel: Pantheon","202976","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","39470644","7.61798","8.02539","2.3129","0","30291","thing","7 Wonders Duel: Pantheon","2","2","45","45","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","25","USD","","","2017-07-22","The Guardtower","1","","","","","","",""
"7 Wonders: Babel","154638","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71120830","6.50541","6.9832","2.6423","0","13394","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","15.86","USD","","","2020-03-04","Amazon","1","","","","","","",""
"7 Wonders: Leaders","92539","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65460770","7.54466","7.83296","2.2777","0","32406","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","11.09","USD","","","2019-11-02","Amazon","1","","","","","","",""
"Acquire","5","6.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","27818217","7.145","7.33932","2.5031","282","23522","thing","Acquire","2","6","90","90","90","1964","3,4,5,6","4","12+","No necessary in-game text","","82255","","","","standalone","","","","","","","","","","","","","","",""
"Adrenaline","202408","0","1","0","1","0","0","0","0","0","0","0","2","","","","","","44730561","6.67465","7.04259","2.3525","787","7623","thing","Adrenaline","3","5","60","60","30","2016","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","41","USD","","","2017-09-20","Miniature Market","1","","","","","","",""
"Adrenaline: Chainsaw","210100","0","","0","1","0","0","0","0","0","0","0","3","","","","","","44794523","5.68219","7.33618","2.3333","0","926","thing","Adrenaline: Chainsaw","3","5","60","60","30","2016","3,4,5","4","","No necessary in-game text","","","","","","expansion","","","","","","2017-08-19","Gen Con 2017","1","","","","","","",""
"Adrenaline: Solo Play DLC","309209","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71783735","5.54697","7.82222","3","0","124","thing","Adrenaline: Solo Play DLC","1","1","60","60","30","2020","1","1","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Age of Thieves","203740","0","","0","1","0","0","0","0","0","0","0","3","","","","","","85153020","5.75644","6.75448","2.7","4207","1013","thing","Age of Thieves","2","4","120","120","60","0","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","15","USD","","","2021-07-28","Miniature Market","","","","","Galakta","English","0","English edition"
"Agility","179933","6","1","0","1","1","0","0","0","0","0","0","4","","","","","","36053727","5.88438","7.07485","2.0952","3115","1080","thing","Agility","2","2","45","45","30","2016","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola (Revised Edition)","200680","0","1","0","1","0","0","0","0","0","0","0","3","","with Folded Space insert","","","","71119134","7.61808","8.01581","3.5134","77","14673","thing","Agricola (Revised Edition)","1","4","120","120","30","2016","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","33.59","USD","","","2020-05-09","Woot! - Amazon","1","","","","","","",""
"Air, Land & Sea","247367","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71119016","6.78313","7.56049","1.7818","623","5748","thing","Air, Land & Sea","2","2","30","30","15","2018","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","10.69","USD","","","2020-02-03","Miniature Market","1","","","","","","",""
"Anagram: The Ingenious Game of Juggling Words","8981","0","","0","1","1","0","0","0","0","0","0","3","","","","","","36154106","5.51343","6.33023","1.8","15322","96","thing","Anagram: The Ingenious Game of Juggling Words","2","8","20","20","20","1991","2,3,4,5","3,4","10","","","","","","","standalone","","","","","","","","","","","","","","",""
"Apollo: A Game Inspired by NASA Moon Missions","313008","0","","0","1","0","0","0","0","0","0","0","4","","","","","","73547253","5.62318","6.65067","2.375","6492","1081","thing","Apollo: A Game Inspired by NASA Moon Missions","2","5","60","60","30","2020","2,3","2,3","12+","","","","","","","standalone","","7.5","USD","","","2021-07-18","Meijer","1","Bought at Potawatomi","","","","","",""
"Arboretum","140934","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73515757","7.15641","7.37435","2.1595","272","24433","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","8.1","USD","","","2020-08-07","Barnes & Noble","1","","","","","","",""
"Archaeology: The Card Game","31105","7.2","3","0","1","0","0","0","0","0","0","0","3","","","","","","40096620","6.24811","6.66896","1.3432","1594","3704","thing","Archaeology: The Card Game","2","4","20","20","20","2007","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Archaeology: The New Expedition","191300","7.6","1","0","1","0","0","0","0","0","0","0","1","","","","","","58469878","6.55035","7.15692","1.2917","967","4915","thing","Archaeology: The New Expedition","2","5","20","20","20","2016","2,3,4,5","","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","16.99","USD","","","2019-02-12","Miniature Market","1","","","","","","",""
"Arkham Horror: The Card Game","205637","0","1","0","1","0","0","0","0","0","0","0","4","","","","","","39679657","7.9264","8.16724","3.4612","23","55507","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","25","USD","","","2017-06-20","The Soldiery","1","","","","","","",""
"Ascension: Apprentice Edition","145633","7","","0","1","0","0","0","0","0","0","0","3","","","","","","55682360","6.0951","7.1074","1.9565","2096","2323","thing","Ascension: Apprentice Edition","2","2","30","30","30","2013","1,2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","5.88","USD","","","","Amazon","1","","","","","","",""
"AttrAction","129946","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36158860","5.61954","6.27576","1.1667","6614","424","thing","AttrAction","2","5","10","10","10","2012","2,3,4,5","2,3","6+","No necessary in-game text","","","","","","standalone","","","","","","2018-06-28","Origins","1","Free at Origins","","","","","",""
"Azul","230802","7.4","12","0","1","0","0","0","0","0","0","0","3","","","","","","50240974","7.69495","7.81133","1.759","55","87929","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG! The Dice Game","143741","5.8","1","0","1","0","0","0","0","0","0","0","3","","","","","","39226565","6.80391","6.94511","1.2754","592","32404","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","12.11","USD","","","","Barnes & Noble","1","","","","","","",""
"Battle Line","760","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","34143478","7.21101","7.41486","1.8996","235","19551","thing","Battle Line","2","2","30","30","30","2000","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","18","USD","","","2015-11-25","Amazon","1","","","","","","",""
"Battleship","2425","3","1","0","1","0","0","0","0","0","0","0","3","","","","","","27818274","4.72146","4.65912","1.2172","21177","13992","thing","Battleship","2","2","30","30","30","1931","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","7","3","0","1","0","0","0","0","0","0","0","1","","We enjoy playing this game but not from a strategic standpoint, but from the storytelling that accompanies it.  The various scenarios play out differently with every play and if you can see the big picture of the game, it plays well.","","","","28941365","6.85155","7.05936","2.3867","539","62276","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Beyond Balderdash","1544","0","","0","1","0","0","0","0","0","0","0","3","","","","","","27818287","6.32758","6.82661","1.4734","1397","4708","thing","Beyond Balderdash","2","6","45","45","45","1993","4,5,6","6","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Blink","1197","0","","0","1","0","0","0","0","0","0","0","3","","","","","","32432533","5.69934","5.9264","1.0698","4936","3975","thing","Blink","2","3","10","10","10","1995","2,3","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blokus","2453","7","5","0","1","0","0","0","0","0","0","0","3","","","","","","27818320","6.74791","6.87853","1.7639","669","31895","thing","Blokus","2","4","20","20","20","2000","2,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Rage","170216","8.2","1","0","1","0","0","0","0","0","0","0","3","","","","","Looking for box in good condition","34322405","7.82065","7.99772","2.8819","33","43436","thing","Blood Rage","2","4","90","90","60","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","48","USD","","","2018-06-15","Origins","","Dented. Has Broken Token insert","","","","","",""
"Blood Rage: 5th Player Expansion","174506","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71771842","6.99716","8.09543","2.6176","0","10326","thing","Blood Rage: 5th Player Expansion","5","5","90","90","60","2015","3,4,5","4,5","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","19.24","USD","","","2019-01-03","Amazon","1","","","","","","",""
"Blood Rage: Gods of Ásgard","174801","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71771958","6.70228","7.67502","2.5862","0","10099","thing","Blood Rage: Gods of Ásgard","2","4","90","90","60","2015","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Blood Rage: Mystics of Midgard","175100","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71772031","6.87131","7.90339","2.6786","0","10225","thing","Blood Rage: Mystics of Midgard","2","4","90","90","60","2015","3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Blue Moon City","21882","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71119236","6.75698","7.03703","2.2963","660","8470","thing","Blue Moon City","2","4","50","50","30","2006","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","9.99","USD","","","2020-05-06","Asmodee Online Store","1","","","","","","",""
"Bohnanza","11","6.9","1","0","1","0","0","0","0","0","0","0","4","","","","","","49795216","6.93364","7.03907","1.6754","461","58729","thing","Bohnanza","2","7","45","45","45","1997","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
